Entity,Type,Sub-Type
Brad Pitt,Person,
Donald Trump,Person,
Albert Einstein,Person,
Gordon Ramsey,Person,
Chris Evans,Person,
Steven Spielberg,Person,
Freddie Mercury,Person,
Edgar Allan Poe,Person,
Jerry Rice,Person,
Mark Twain,Person,
Leonardo da Vinci,Person,
Naina Lal Kidwai,Person,
