Entity,Type,Sub-Type
Moon Knight,Thing, a fictional superhero 
The Defenders,Thing, an American web television miniseries 
Magneto,Thing, a fictional character 
Spider-Man,Thing, a fictional superhero 
Rick Grimes,Thing, a fictional character and the protagonist in the comic book series The Walking Dead and the television series of the same name 
The Justice League,Thing, a team of fictional superheroes 
